Attack Type,Naive Bayes Accuracy,QDA Accuracy,MLP Accuracy
Bot,0.9988702800501206,0.9988702800501206,0.9992501985611841
DDoS,0.9327197417995416,0.9513012971524683,0.9748671695550214
DoS GoldenEye,0.9559736492531244,0.9333027039907085,0.9978041044270339
DoS Hulk,0.9063776486905194,0.9064511794073424,0.958199055257066
DoS Slowhttptest,0.9905027069717399,0.8945468540753374,0.9986050224913297
DoS slowloris,0.9674402835832425,0.9673787718831449,0.9976225012659966
FTP-Patator,0.9947564686888314,0.9984469431784087,0.9998957008758269
PortScan,0.9375106871614636,0.9399006653004638,0.9877712565997332
SSH-Patator,0.9931726017207961,0.9952123817220836,0.9975468283995738
